ID,Название товара,Цена товара,Количество товара
23776,"FOXSUR FBC1205D ЗУ для аккум. с крокодилами (12В, 5А)",869.48,878
28099,"FOXSUR FBC122408D ЗУ для аккум. с крокодилами (12-24В, 8А)",1 357.36,502
13434,"Орбита 18650 (1800mA, 3,7В) аккумулятор (УПАКОВКА 2ШТ)",143.22,351
12394,"Орбита 18650 (20А,2000mA,3,7В) аккумулятор (УПАКОВКА 2ШТ)",277.20,1432
6109,"Орбита 18650 (4200mA, 3,7В) аккумулятор (УПАКОВКА 2ШТ)",218.06,0
9667,"Орбита 18650 (4500mA, 3,7В) аккумулятор (УПАКОВКА 2ШТ)",226.38,1371
11290,"Орбита 18650 (5000mA, 3,7В) аккумулятор (УПАКОВКА 2ШТ)",270.73,4458
13925,"Орбита 18650 (5200mA, 3,7В) аккумулятор (УПАКОВКА 2ШТ)",294.76,3425
40357,Орбита OT-VNP35 POE коммутатор (4poe+2lan порта),1 387.85,0
12393,"Орбита 4/5SC (1.2V, 1500mAh) аккумулятор (УПАКОВКА 6шт)",376.07,1206
39819,Орбита OT-PCG12 Черный геймпад игровой (Bluetooth) ,933.24,871
40358,Орбита OT-VNP36 POE коммутатор (8poe+2lan порта),2 063.29,0
39822,Орбита OT-PCG12 Синий геймпад игровой (Bluetooth),933.24,359
39820,Орбита OT-PCG12 Белый геймпад игровой (Bluetooth),933.24,959
39821,Орбита OT-PCG12 Красный геймпад игровой (Bluetooth),933.24,405
39838,Орбита OT-PCG16 Черный геймпад игровой (Bluetooth),1 765.76,938
39839,Орбита OT-PCG16 Белый геймпад игровой (Bluetooth),1 765.76,959
40379,Кнопка для звонка Орбита OT-HOC18 Черная,180.18,184
40378,Кнопка для звонка Орбита OT-HOC18 Белая,180.18,352
40377,Кнопка для звонка Орбита OT-HOC19,165.40,1082
34926,Огонек OG-HOM01 Фильтры для увлажнителя воздуха (5 штук),66.53,0
42637,Lucky FF1108-1 портативный эхолот,2 402.40,727
35050,"Орбита OT-AVW47 кабель HDMI-HDMI 1,5м (v2.1)",439.82,1161
35051,Орбита OT-AVW47 кабель HDMI-HDMI 3м (v2.1),532.22,1150
41302,"HOCO HB28 концентратор USB (2*USB, PD60W, HDMI, TF, SD)",1 041.35,187
41654,"HOCO BS49 Черная активная колонка (Bluetooth,FM,10W)",1 670.59,310
38346,"HOCO NS1 Белый сетевой фильтр (4гн, 2*QC3.0,1*PD20W) 1.8м",1 252.02,130
38347,"HOCO NS1 Черный сетевой фильтр (4гн, 2*QC3.0,1*PD20W) 1.8м",1 482.10,0
41365,"HOCO NS2 Черный сетевой фильтр (3гн, 3*USB) 1.8м",890.74,104
41367,"HOCO NS2 Белый сетевой фильтр (3гн, 3*USB) 1.8м",925.85,173
41369,"HOCO NS3 Черная розетка (1гн, 2*QC3.0, 1*PD20W)",780.78,124
41368,"HOCO NS3 Белая розетка (1гн, 2*QC3.0, 1*PD20W)",790.02,169
37967,HOCO UA16 кабель HDMI - TYPE-C (штекер-штекер) 2м,577.50,0
